;agricultural land occupation;climate change;fossil depletion;freshwater ecotoxicity;freshwater eutrophication;human toxicity;ionising radiation;marine ecotoxicity;marine eutrophication;metal depletion;natural land transformation;ozone depletion;particulate matter formation;photochemical oxidant formation;terrestrial acidification;terrestrial ecotoxicity;urban land occupation;water depletion;human noise, midpoint;human noise, endpoint
noise, octave 3, evening time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13800;7.8108E-09
noise, octave 4, evening time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25600;1.44896E-08
noise, octave 5, evening time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36600;2.07156E-08
noise, octave 6, evening time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40000;2.264E-08
noise, octave 7, evening time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32200;1.82252E-08
noise, octave 8, evening time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15400;8.7164E-09
noise, octave 1, night time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4580;2.59228E-09
noise, octave 2, night time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10200;5.7732E-09
noise, octave 3, night time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24600;1.39236E-08
noise, octave 4, night time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45500;2.5753E-08
noise, octave 5, night time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64900;3.67334E-08
noise, octave 6, night time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70300;3.97898E-08
noise, octave 7, night time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54600;3.09036E-08
noise, octave 8, night time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23100;1.30746E-08
