,variable,powertrain,euro_class,component,hot
251,a,ICEV-g,6.3,Pb,1.2474316782880511e-08
252,a,ICEV-g,7.0,Benzene,1.215964297196707e-08
253,a,ICEV-g,7.0,CH4,5.482551116965513e-06
254,a,ICEV-g,7.0,CO,0.0001164760052477197
255,a,ICEV-g,7.0,FC_MJ,0.0010000000000000002
256,a,ICEV-g,7.0,HC,6.646578776792853e-06
257,a,ICEV-g,7.0,N2O,2.5512136767660685e-07
258,a,ICEV-g,7.0,NH3,1.6349557668647994e-05
259,a,ICEV-g,7.0,NMHC,1.1640277660264257e-06
260,a,ICEV-g,7.0,NO2,8.980533082910585e-07
261,a,ICEV-g,7.0,NOx,1.0968267643697067e-05
262,a,ICEV-g,7.0,PM2.5,4.852986595558366e-07
263,a,ICEV-g,7.0,Pb,1.2474316782880511e-08
264,a,ICEV-p,0.0,Benzene,2.857661020545525e-05
265,a,ICEV-p,0.0,CH4,2.211955153219863e-05
266,a,ICEV-p,0.0,CO,0.003633063767421013
267,a,ICEV-p,0.0,FC_MJ,0.0009999999999999998
268,a,ICEV-p,0.0,HC,0.0006448968570937768
269,a,ICEV-p,0.0,N2O,6.606527093346371e-06
270,a,ICEV-p,0.0,NH3,1.3548556846952226e-05
271,a,ICEV-p,0.0,NMHC,0.0006227773218679206
272,a,ICEV-p,0.0,NO2,3.135111702742431e-05
273,a,ICEV-p,0.0,NOx,0.0006270223285032877
274,a,ICEV-p,0.0,PM2.5,1.4344272264641381e-06
275,a,ICEV-p,0.0,Pb,2.3791512954197553e-08
276,a,ICEV-p,1.0,Benzene,4.183336030374591e-06
277,a,ICEV-p,1.0,CH4,2.7177124940863186e-06
278,a,ICEV-p,1.0,CO,0.00035821166296675196
279,a,ICEV-p,1.0,FC_MJ,0.0010000000000000002
280,a,ICEV-p,1.0,HC,3.235372056977143e-05
281,a,ICEV-p,1.0,N2O,6.949651910161433e-06
282,a,ICEV-p,1.0,NH3,0.00010593701086261078
283,a,ICEV-p,1.0,NMHC,2.963600816811307e-05
284,a,ICEV-p,1.0,NO2,5.725410185739358e-06
285,a,ICEV-p,1.0,NOx,0.00011450820215614017
286,a,ICEV-p,1.0,PM2.5,1.0451086128297895e-06
287,a,ICEV-p,1.0,Pb,2.379916812384745e-08
