name;location;unit;reference product;UVEK name;UVEK location;UVEK unit;UVEK ref prod
market for heat, district or industrial, natural gas;RoW;megajoule;heat, district or industrial, natural gas;Heat, natural gas, at industrial furnace >100kW;RER;megajoule;Heat, natural gas, at industrial furnace >100kW
market for heat, district or industrial, natural gas;Europe without Switzerland;megajoule;heat, district or industrial, natural gas;Heat, natural gas, at industrial furnace >100kW;RER;megajoule;Heat, natural gas, at industrial furnace >100kW
heat production, heavy fuel oil, at industrial furnace 1MW;RoW;megajoule;heat, district or industrial, other than natural gas;Heat, heavy fuel oil, at industrial furnace 1MW;RER;megajoule;Heat, heavy fuel oil, at industrial furnace 1MW
market for heat, district or industrial, other than natural gas;Europe without Switzerland;megajoule;heat, district or industrial, other than natural gas;Heat, heavy fuel oil, at industrial furnace 1MW;RER;megajoule;Heat, heavy fuel oil, at industrial furnace 1MW
market for heat, from steam, in chemical industry;RER;megajoule;heat, from steam, in chemical industry;Steam, for chemical processes, at plant;RER;kilogram;Steam, for chemical processes, at plant
market for heat, from steam, in chemical industry;RoW;megajoule;heat, from steam, in chemical industry;Steam, for chemical processes, at plant;RER;kilogram;Steam, for chemical processes, at plant
steam production, as energy carrier, in chemical industry;RoW;megajoule;heat, from steam, in chemical industry;Steam, for chemical processes, at plant;RER;kilogram;Steam, for chemical processes, at plant
market for heat, future;GLO;megajoule;heat, future;Heat, natural gas, allocation exergy, at PEM fuel cell 2kWe, future;CH;megajoule;Heat, natural gas, allocation exergy, at PEM fuel cell 2kWe, future
market for hexane;GLO;kilogram;hexane;Hexane, at plant;RER;kilogram;Hexane, at plant
hydrogen peroxide production, product in 50% solution state;RER;kilogram;hydrogen peroxide, without water, in 50% solution state;Hydrogen peroxide, 50% in H2O, at plant;RER;kilogram;Hydrogen peroxide, 50% in H2O, at plant
market for hydrogen, liquid;RER;kilogram;hydrogen, liquid;Hydrogen, liquid, at plant;RER;kilogram;Hydrogen, liquid, at plant
treatment of inert waste, inert material landfill;CH;kilogram;inert waste, for final disposal;Disposal, inert waste, 5% water, to inert material landfill;CH;kilogram;Disposal, inert waste, 5% water, to inert material landfill
injection moulding;RoW;kilogram;injection moulding;Injection moulding;RER;kilogram;Injection moulding
market for injection moulding;GLO;kilogram;injection moulding;Injection moulding;RER;kilogram;Injection moulding
market for integrated circuit, logic type;GLO;kilogram;integrated circuit, logic type;Integrated circuit, IC, logic type, at plant;GLO;kilogram;Integrated circuit, IC, logic type, at plant
market for internal combustion engine, passenger car;GLO;kilogram;internal combustion engine, for passenger car;internal combustion engine, for passenger car;RER;kilogram;internal combustion engine, for passenger car
market for inverter, for electric passenger car;GLO;kilogram;inverter, for electric passenger car;inverter, for electric passenger car;RER;kilogram;inverter, for electric passenger car
market for iron sulfate;RoW;kilogram;iron sulfate;Iron sulphate, at plant;RER;kilogram;Iron sulphate, at plant
kraft paper production, bleached;RoW;kilogram;kraft paper, bleached;Kraft paper, bleached, at plant;RER;kilogram;Kraft paper, bleached, at plant
market for light fuel oil;RoW;kilogram;light fuel oil;Light fuel oil, at regional storage;RER;kilogram;Light fuel oil, at regional storage
market group for light fuel oil;RER;kilogram;light fuel oil;Light fuel oil, at regional storage;RER;kilogram;Light fuel oil, at regional storage
lignite mine operation;RER;kilogram;lignite;Lignite, at mine;RER;kilogram;Lignite, at mine
lime production, milled, packed;CH;kilogram;lime, packed;Lime, hydrated, packed, at plant;CH;kilogram;Lime, hydrated, packed, at plant
liquid storage tank production, chemicals, organics;CH;unit;liquid storage tank, chemicals, organics;Liquid storage tank, chemicals, organics;CH;unit;Liquid storage tank, chemicals, organics
market for liquid storage tank, chemicals, organics;GLO;unit;liquid storage tank, chemicals, organics;Liquid storage tank, chemicals, organics;CH;unit;Liquid storage tank, chemicals, organics
market for lithium hexafluorophosphate;GLO;kilogram;lithium hexafluorophosphate;Lithium hexafluorophosphate, at plant;CN;kilogram;Lithium hexafluorophosphate, at plant
lithium hydroxide production;GLO;kilogram;lithium hydroxide;Lithium hydroxide, at plant;GLO;kilogram;Lithium hydroxide, at plant
market for lithium hydroxide;GLO;kilogram;lithium hydroxide;Lithium hydroxide, at plant;GLO;kilogram;Lithium hydroxide, at plant
lubricating oil production;RoW;kilogram;lubricating oil;Lubricating oil, at plant;RER;kilogram;Lubricating oil, at plant
market for lubricating oil;RER;kilogram;lubricating oil;Lubricating oil, at plant;RER;kilogram;Lubricating oil, at plant
market for lubricating oil;RoW;kilogram;lubricating oil;Lubricating oil, at plant;RER;kilogram;Lubricating oil, at plant
market for magnesium oxide;GLO;kilogram;magnesium oxide;Magnesium oxide, at plant;RER;kilogram;Magnesium oxide, at plant
market for magnesium sulfate;GLO;kilogram;magnesium sulfate;Magnesium sulphate, at plant;RER;kilogram;Magnesium sulphate, at plant
market for maize seed, for sowing;GLO;kilogram;maize seed, for sowing;maize seed organic, at regional storehouse/kg;CH;kilogram;maize seed organic, at regional storehouse/kg
market for manual dismantling of used electric passenger car;GLO;unit;manual dismantling of used electric passenger car;disposal, powertrain, for electric passenger car;RER;kilogram;disposal, powertrain, for electric passenger car
market for manual dismantling of used passenger car with internal combustion engine;GLO;unit;manual dismantling of used passenger car with internal combustion engine;Disposal, passenger car;RER;unit;Disposal, passenger car
metal coating facility construction;RoW;unit;metal coating facility;Metal coating plant;RER;unit;Metal coating plant
market for metal working factory;GLO;unit;metal working factory;Metal working factory;RER;unit;Metal working factory
market for metal working, average for aluminium product manufacturing;GLO;kilogram;metal working, average for aluminium product manufacturing;Aluminium product manufacturing, average metal working;RER;kilogram;Aluminium product manufacturing, average metal working
metal working, average for aluminium product manufacturing;RoW;kilogram;metal working, average for aluminium product manufacturing;Aluminium product manufacturing, average metal working;RER;kilogram;Aluminium product manufacturing, average metal working
