,powertrain,euro_class,type,Component,hot
203,ICEV-d,4.0,cold start,Pb,0.0
204,ICEV-d,4.0,diurnal,Benzene,0.0
205,ICEV-d,4.0,diurnal,CH4,0.0
206,ICEV-d,4.0,diurnal,CO,0.0
207,ICEV-d,4.0,diurnal,FC_MJ,0.0
208,ICEV-d,4.0,diurnal,HC,0.0
209,ICEV-d,4.0,diurnal,N2O,0.0
210,ICEV-d,4.0,diurnal,NH3,0.0
211,ICEV-d,4.0,diurnal,NMHC,0.0
212,ICEV-d,4.0,diurnal,NO2,0.0
213,ICEV-d,4.0,diurnal,NOx,0.0
214,ICEV-d,4.0,diurnal,PM2.5,0.0
215,ICEV-d,4.0,diurnal,Pb,0.0
216,ICEV-d,4.0,running losses,Benzene,0.0
217,ICEV-d,4.0,running losses,CH4,0.0
218,ICEV-d,4.0,running losses,CO,0.0
219,ICEV-d,4.0,running losses,FC_MJ,0.0
220,ICEV-d,4.0,running losses,HC,0.0
221,ICEV-d,4.0,running losses,N2O,0.0
222,ICEV-d,4.0,running losses,NH3,0.0
223,ICEV-d,4.0,running losses,NMHC,0.0
224,ICEV-d,4.0,running losses,NO2,0.0
225,ICEV-d,4.0,running losses,NOx,0.0
226,ICEV-d,4.0,running losses,PM2.5,0.0
227,ICEV-d,4.0,running losses,Pb,0.0
228,ICEV-d,4.0,soak,Benzene,0.0
229,ICEV-d,4.0,soak,CH4,0.0
230,ICEV-d,4.0,soak,CO,0.0
231,ICEV-d,4.0,soak,FC_MJ,0.0
232,ICEV-d,4.0,soak,HC,0.0
233,ICEV-d,4.0,soak,N2O,0.0
234,ICEV-d,4.0,soak,NH3,0.0
235,ICEV-d,4.0,soak,NMHC,0.0
236,ICEV-d,4.0,soak,NO2,0.0
237,ICEV-d,4.0,soak,NOx,0.0
238,ICEV-d,4.0,soak,PM2.5,0.0
239,ICEV-d,4.0,soak,Pb,0.0
240,ICEV-d,5.0,cold start,Benzene,0.00106442591641098
241,ICEV-d,5.0,cold start,CH4,0.00218343804590404
242,ICEV-d,5.0,cold start,CO,0.987690389156342
243,ICEV-d,5.0,cold start,FC_MJ,0.960799396038055
244,ICEV-d,5.0,cold start,HC,0.0909765809774399
245,ICEV-d,5.0,cold start,N2O,0.0
246,ICEV-d,5.0,cold start,NH3,0.0
247,ICEV-d,5.0,cold start,NMHC,0.0887931436300278
248,ICEV-d,5.0,cold start,NO2,0.359947949647903
249,ICEV-d,5.0,cold start,NOx,0.395942717790604
250,ICEV-d,5.0,cold start,PM2.5,0.00420173211023211
251,ICEV-d,5.0,cold start,Pb,0.0
252,ICEV-d,5.0,diurnal,Benzene,0.0
253,ICEV-d,5.0,diurnal,CH4,0.0
254,ICEV-d,5.0,diurnal,CO,0.0
255,ICEV-d,5.0,diurnal,FC_MJ,0.0
256,ICEV-d,5.0,diurnal,HC,0.0
257,ICEV-d,5.0,diurnal,N2O,0.0
258,ICEV-d,5.0,diurnal,NH3,0.0
259,ICEV-d,5.0,diurnal,NMHC,0.0
260,ICEV-d,5.0,diurnal,NO2,0.0
261,ICEV-d,5.0,diurnal,NOx,0.0
262,ICEV-d,5.0,diurnal,PM2.5,0.0
263,ICEV-d,5.0,diurnal,Pb,0.0
264,ICEV-d,5.0,running losses,Benzene,0.0
265,ICEV-d,5.0,running losses,CH4,0.0
266,ICEV-d,5.0,running losses,CO,0.0
267,ICEV-d,5.0,running losses,FC_MJ,0.0
268,ICEV-d,5.0,running losses,HC,0.0
269,ICEV-d,5.0,running losses,N2O,0.0
270,ICEV-d,5.0,running losses,NH3,0.0
271,ICEV-d,5.0,running losses,NMHC,0.0
272,ICEV-d,5.0,running losses,NO2,0.0
273,ICEV-d,5.0,running losses,NOx,0.0
274,ICEV-d,5.0,running losses,PM2.5,0.0
275,ICEV-d,5.0,running losses,Pb,0.0
276,ICEV-d,5.0,soak,Benzene,0.0
277,ICEV-d,5.0,soak,CH4,0.0
278,ICEV-d,5.0,soak,CO,0.0
279,ICEV-d,5.0,soak,FC_MJ,0.0
280,ICEV-d,5.0,soak,HC,0.0
281,ICEV-d,5.0,soak,N2O,0.0
282,ICEV-d,5.0,soak,NH3,0.0
283,ICEV-d,5.0,soak,NMHC,0.0
284,ICEV-d,5.0,soak,NO2,0.0
285,ICEV-d,5.0,soak,NOx,0.0
286,ICEV-d,5.0,soak,PM2.5,0.0
287,ICEV-d,5.0,soak,Pb,0.0
288,ICEV-d,6.0,cold start,Benzene,0.00127709133084863
289,ICEV-d,6.0,cold start,CH4,0.00261967466212809
290,ICEV-d,6.0,cold start,CO,1.20332360267639
291,ICEV-d,6.0,cold start,FC_MJ,0.960799396038055
292,ICEV-d,6.0,cold start,HC,0.109153106808662
293,ICEV-d,6.0,cold start,N2O,0.0
294,ICEV-d,6.0,cold start,NH3,0.0
295,ICEV-d,6.0,cold start,NMHC,0.10653343051672
296,ICEV-d,6.0,cold start,NO2,-0.16088043153286
297,ICEV-d,6.0,cold start,NOx,-0.193056508898735
298,ICEV-d,6.0,cold start,PM2.5,0.00268444023095071
299,ICEV-d,6.0,cold start,Pb,0.0
300,ICEV-d,6.0,diurnal,Benzene,0.0
301,ICEV-d,6.0,diurnal,CH4,0.0
302,ICEV-d,6.0,diurnal,CO,0.0
303,ICEV-d,6.0,diurnal,FC_MJ,0.0
304,ICEV-d,6.0,diurnal,HC,0.0
305,ICEV-d,6.0,diurnal,N2O,0.0
306,ICEV-d,6.0,diurnal,NH3,0.0
307,ICEV-d,6.0,diurnal,NMHC,0.0
308,ICEV-d,6.0,diurnal,NO2,0.0
309,ICEV-d,6.0,diurnal,NOx,0.0
310,ICEV-d,6.0,diurnal,PM2.5,0.0
311,ICEV-d,6.0,diurnal,Pb,0.0
312,ICEV-d,6.0,running losses,Benzene,0.0
313,ICEV-d,6.0,running losses,CH4,0.0
314,ICEV-d,6.0,running losses,CO,0.0
315,ICEV-d,6.0,running losses,FC_MJ,0.0
316,ICEV-d,6.0,running losses,HC,0.0
317,ICEV-d,6.0,running losses,N2O,0.0
318,ICEV-d,6.0,running losses,NH3,0.0
319,ICEV-d,6.0,running losses,NMHC,0.0
320,ICEV-d,6.0,running losses,NO2,0.0
321,ICEV-d,6.0,running losses,NOx,0.0
322,ICEV-d,6.0,running losses,PM2.5,0.0
323,ICEV-d,6.0,running losses,Pb,0.0
324,ICEV-d,6.0,soak,Benzene,0.0
325,ICEV-d,6.0,soak,CH4,0.0
326,ICEV-d,6.0,soak,CO,0.0
327,ICEV-d,6.0,soak,FC_MJ,0.0
328,ICEV-d,6.0,soak,HC,0.0
329,ICEV-d,6.0,soak,N2O,0.0
330,ICEV-d,6.0,soak,NH3,0.0
331,ICEV-d,6.0,soak,NMHC,0.0
332,ICEV-d,6.0,soak,NO2,0.0
333,ICEV-d,6.0,soak,NOx,0.0
334,ICEV-d,6.0,soak,PM2.5,0.0
335,ICEV-d,6.0,soak,Pb,0.0
336,ICEV-d,6.1,cold start,Benzene,0.000849332951474935
337,ICEV-d,6.1,cold start,CH4,0.0017422215314582
338,ICEV-d,6.1,cold start,CO,0.818297505378723
339,ICEV-d,6.1,cold start,FC_MJ,0.960799396038055
340,ICEV-d,6.1,cold start,HC,0.0725925639271736
341,ICEV-d,6.1,cold start,N2O,0.0
342,ICEV-d,6.1,cold start,NH3,0.0
343,ICEV-d,6.1,cold start,NMHC,0.0708503425121307
344,ICEV-d,6.1,cold start,NO2,0.0666904076933861
345,ICEV-d,6.1,cold start,NOx,0.0
346,ICEV-d,6.1,cold start,PM2.5,0.00268444023095071
347,ICEV-d,6.1,cold start,Pb,0.0
348,ICEV-d,6.1,diurnal,Benzene,0.0
349,ICEV-d,6.1,diurnal,CH4,0.0
350,ICEV-d,6.1,diurnal,CO,0.0
351,ICEV-d,6.1,diurnal,FC_MJ,0.0
352,ICEV-d,6.1,diurnal,HC,0.0
353,ICEV-d,6.1,diurnal,N2O,0.0
354,ICEV-d,6.1,diurnal,NH3,0.0
355,ICEV-d,6.1,diurnal,NMHC,0.0
356,ICEV-d,6.1,diurnal,NO2,0.0
357,ICEV-d,6.1,diurnal,NOx,0.0
358,ICEV-d,6.1,diurnal,PM2.5,0.0
359,ICEV-d,6.1,diurnal,Pb,0.0
360,ICEV-d,6.1,running losses,Benzene,0.0
361,ICEV-d,6.1,running losses,CH4,0.0
362,ICEV-d,6.1,running losses,CO,0.0
363,ICEV-d,6.1,running losses,FC_MJ,0.0
364,ICEV-d,6.1,running losses,HC,0.0
365,ICEV-d,6.1,running losses,N2O,0.0
366,ICEV-d,6.1,running losses,NH3,0.0
367,ICEV-d,6.1,running losses,NMHC,0.0
368,ICEV-d,6.1,running losses,NO2,0.0
369,ICEV-d,6.1,running losses,NOx,0.0
370,ICEV-d,6.1,running losses,PM2.5,0.0
371,ICEV-d,6.1,running losses,Pb,0.0
372,ICEV-d,6.1,soak,Benzene,0.0
373,ICEV-d,6.1,soak,CH4,0.0
374,ICEV-d,6.1,soak,CO,0.0
375,ICEV-d,6.1,soak,FC_MJ,0.0
376,ICEV-d,6.1,soak,HC,0.0
377,ICEV-d,6.1,soak,N2O,0.0
378,ICEV-d,6.1,soak,NH3,0.0
379,ICEV-d,6.1,soak,NMHC,0.0
380,ICEV-d,6.1,soak,NO2,0.0
381,ICEV-d,6.1,soak,NOx,0.0
382,ICEV-d,6.1,soak,PM2.5,0.0
383,ICEV-d,6.1,soak,Pb,0.0
384,ICEV-d,6.2,cold start,Benzene,0.000482473755255342
385,ICEV-d,6.2,cold start,CH4,0.000989689840935171
386,ICEV-d,6.2,cold start,CO,0.444678544998169
387,ICEV-d,6.2,cold start,FC_MJ,0.960799396038055
388,ICEV-d,6.2,cold start,HC,0.0412370748817921
389,ICEV-d,6.2,cold start,N2O,0.0
390,ICEV-d,6.2,cold start,NH3,0.0
391,ICEV-d,6.2,cold start,NMHC,0.0402473844587803
392,ICEV-d,6.2,cold start,NO2,0.0402688346803188
393,ICEV-d,6.2,cold start,NOx,0.332217872142792
394,ICEV-d,6.2,cold start,PM2.5,0.00268444023095071
395,ICEV-d,6.2,cold start,Pb,0.0
396,ICEV-d,6.2,diurnal,Benzene,0.0
397,ICEV-d,6.2,diurnal,CH4,0.0
398,ICEV-d,6.2,diurnal,CO,0.0
399,ICEV-d,6.2,diurnal,FC_MJ,0.0
400,ICEV-d,6.2,diurnal,HC,0.0
401,ICEV-d,6.2,diurnal,N2O,0.0
402,ICEV-d,6.2,diurnal,NH3,0.0
403,ICEV-d,6.2,diurnal,NMHC,0.0
404,ICEV-d,6.2,diurnal,NO2,0.0
405,ICEV-d,6.2,diurnal,NOx,0.0
406,ICEV-d,6.2,diurnal,PM2.5,0.0
407,ICEV-d,6.2,diurnal,Pb,0.0
408,ICEV-d,6.2,running losses,Benzene,0.0
409,ICEV-d,6.2,running losses,CH4,0.0
410,ICEV-d,6.2,running losses,CO,0.0
411,ICEV-d,6.2,running losses,FC_MJ,0.0
412,ICEV-d,6.2,running losses,HC,0.0
413,ICEV-d,6.2,running losses,N2O,0.0
414,ICEV-d,6.2,running losses,NH3,0.0
415,ICEV-d,6.2,running losses,NMHC,0.0
416,ICEV-d,6.2,running losses,NO2,0.0
417,ICEV-d,6.2,running losses,NOx,0.0
418,ICEV-d,6.2,running losses,PM2.5,0.0
419,ICEV-d,6.2,running losses,Pb,0.0
420,ICEV-d,6.2,soak,Benzene,0.0
421,ICEV-d,6.2,soak,CH4,0.0
422,ICEV-d,6.2,soak,CO,0.0
423,ICEV-d,6.2,soak,FC_MJ,0.0
424,ICEV-d,6.2,soak,HC,0.0
425,ICEV-d,6.2,soak,N2O,0.0
426,ICEV-d,6.2,soak,NH3,0.0
427,ICEV-d,6.2,soak,NMHC,0.0
428,ICEV-d,6.2,soak,NO2,0.0
429,ICEV-d,6.2,soak,NOx,0.0
430,ICEV-d,6.2,soak,PM2.5,0.0
431,ICEV-d,6.2,soak,Pb,0.0
432,ICEV-d,6.3,cold start,Benzene,0.000482473755255342
433,ICEV-d,6.3,cold start,CH4,0.000989689840935171
434,ICEV-d,6.3,cold start,CO,0.444678544998169
435,ICEV-d,6.3,cold start,FC_MJ,0.953754723072052
436,ICEV-d,6.3,cold start,HC,0.0412370748817921
437,ICEV-d,6.3,cold start,N2O,0.0
438,ICEV-d,6.3,cold start,NH3,0.0
439,ICEV-d,6.3,cold start,NMHC,0.0402473844587803
440,ICEV-d,6.3,cold start,NO2,0.0402688346803188
441,ICEV-d,6.3,cold start,NOx,0.332217872142792
442,ICEV-d,6.3,cold start,PM2.5,0.00268444023095071
443,ICEV-d,6.3,cold start,Pb,0.0
444,ICEV-d,6.3,diurnal,Benzene,0.0
445,ICEV-d,6.3,diurnal,CH4,0.0
446,ICEV-d,6.3,diurnal,CO,0.0
447,ICEV-d,6.3,diurnal,FC_MJ,0.0
448,ICEV-d,6.3,diurnal,HC,0.0
