;;agricultural land occupation;climate change;fossil depletion;freshwater ecotoxicity;freshwater eutrophication;human toxicity;ionising radiation;marine ecotoxicity;marine eutrophication;metal depletion;natural land transformation;ozone depletion;particulate matter formation;photochemical oxidant formation;terrestrial acidification;terrestrial ecotoxicity;urban land occupation;water depletion;human noise;Coal;Crude oil;Natural gas;Brown coal;Peat
;;m2.year;kg CO2-eq.;kg oil-eq.;kg 1,4-DC;kg P-eq.;kg 1,4-DC;kg U235-eq.;kg 1,4-DC;kg N-eq.;kg Cu-eq.;m2;kg CFC-11-eq.;kg PM10-eq.;kg NMVOC;kg SO2-eq.;kg 1,4-DC;m2.year;m3;Person*Pa/W;kilogram;kilogram;cubic meter;kilogram;kilogram
_lci_direct_noise, octave 5, night time, rural;noise, octave 5, night time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64900;0;0;0;0;0
_lci_direct_noise, octave 5, night time, suburban;noise, octave 5, night time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1790000;0;0;0;0;0
_lci_direct_noise, octave 5, night time, urban;noise, octave 5, night time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1430000;0;0;0;0;0
_lci_direct_noise, octave 6, day time, rural;noise, octave 6, day time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21700;0;0;0;0;0
_lci_direct_noise, octave 6, day time, suburban;noise, octave 6, day time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;640000;0;0;0;0;0
_lci_direct_noise, octave 6, day time, urban;noise, octave 6, day time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;293000;0;0;0;0;0
_lci_direct_noise, octave 6, evening time, rural;noise, octave 6, evening time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40000;0;0;0;0;0
_lci_direct_noise, octave 6, evening time, suburban;noise, octave 6, evening time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1150000;0;0;0;0;0
_lci_direct_noise, octave 6, evening time, urban;noise, octave 6, evening time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;961000;0;0;0;0;0
_lci_direct_noise, octave 6, night time, rural;noise, octave 6, night time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70300;0;0;0;0;0
_lci_direct_noise, octave 6, night time, suburban;noise, octave 6, night time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2040000;0;0;0;0;0
