;;Human health, Climate change;Human health, Ozone depletion;Human health, Ionizing radiation;Human health, Fine particles;Human health, Summer smog;Human health, Toxicity;Human health, Water consumption;Human health, Human noise;Terrestrial ecosystems, Climate change;Terrestrial ecosystems, Summer smog;Terrestrial ecosystems, Acidification;Terrestrial ecosystems, Toxicity;Terrestrial ecosystems, Water consumption;Terrestrial ecosystems, Land use;Freshwater ecosystems, Climate change;Freshwater ecosystems, Eutrophication;Freshwater ecosystems, Toxicity;Freshwater ecosystems, Water consumption;Marine ecosystems, Toxicity;Marine ecosystems, Eutrophication;Resources, Mineral resources;Resources, Fossil resources
;;DALY;DALY;DALY;DALY;DALY;DALY;DALY;DALY;Species.year;Species.year;Species.year;Species.year;Species.year;Species.year;Species.year;Species.year;Species.year;Species.year;Species.year;Species.year;USD2013;USD2013
_lci_direct_noise, octave 6, evening time, rural;noise, octave 6, evening time, rural;0;0;0;0;0;0;0;2.26E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 6, evening time, suburban;noise, octave 6, evening time, suburban;0;0;0;0;0;0;0;6.51E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 6, evening time, urban;noise, octave 6, evening time, urban;0;0;0;0;0;0;0;5.44E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 6, night time, rural;noise, octave 6, night time, rural;0;0;0;0;0;0;0;3.98E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 6, night time, suburban;noise, octave 6, night time, suburban;0;0;0;0;0;0;0;1.15E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 6, night time, urban;noise, octave 6, night time, urban;0;0;0;0;0;0;0;9.23E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 7, day time, rural;noise, octave 7, day time, rural;0;0;0;0;0;0;0;9.00E-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 7, day time, suburban;noise, octave 7, day time, suburban;0;0;0;0;0;0;0;3.40E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 7, day time, urban;noise, octave 7, day time, urban;0;0;0;0;0;0;0;1.56E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 7, evening time, rural;noise, octave 7, evening time, rural;0;0;0;0;0;0;0;1.82E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 7, evening time, suburban;noise, octave 7, evening time, suburban;0;0;0;0;0;0;0;6.23E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 7, evening time, urban;noise, octave 7, evening time, urban;0;0;0;0;0;0;0;5.20E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 7, night time, rural;noise, octave 7, night time, rural;0;0;0;0;0;0;0;3.09E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 7, night time, suburban;noise, octave 7, night time, suburban;0;0;0;0;0;0;0;1.10E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 7, night time, urban;noise, octave 7, night time, urban;0;0;0;0;0;0;0;8.77E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 8, day time, rural;noise, octave 8, day time, rural;0;0;0;0;0;0;0;3.10E-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 8, day time, suburban;noise, octave 8, day time, suburban;0;0;0;0;0;0;0;2.99E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 8, day time, urban;noise, octave 8, day time, urban;0;0;0;0;0;0;0;1.38E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 8, evening time, rural;noise, octave 8, evening time, rural;0;0;0;0;0;0;0;8.72E-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 8, evening time, suburban;noise, octave 8, evening time, suburban;0;0;0;0;0;0;0;5.77E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 8, evening time, urban;noise, octave 8, evening time, urban;0;0;0;0;0;0;0;4.82E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 8, night time, rural;noise, octave 8, night time, rural;0;0;0;0;0;0;0;1.31E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 8, night time, suburban;noise, octave 8, night time, suburban;0;0;0;0;0;0;0;1.00E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 8, night time, urban;noise, octave 8, night time, urban;0;0;0;0;0;0;0;8.04E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_road_wear;market for road wear emissions, passenger car;0;0;0;-0.000315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_tyre_wear;market for brake wear emissions, passenger car;0;0;0;-4.48E-05;-3.60E-11;-1.06E-05;0;0;0;-5.11E-12;-1.04E-10;-5.21E-13;0;0;0;0;-5.72E-11;0;-1.18E-11;-4.92E-13;0;0
_lci_direct_brake_wear;maintenance, passenger car;0;0;0;-0.000621;-2.63E-09;-0.00395;0;0;0;-3.72E-10;-7.55E-09;-3.20E-11;0;0;0;0;-3.92E-10;0;-2.24E-09;-1.06E-13;0;0
_lci_car_maintenance;market for tyre wear emissions, passenger car;0.000959;6.36E-08;1.79E-06;0.00102;3.41E-06;0.00228;6.80E-06;0;2.89E-06;4.83E-07;9.40E-07;9.57E-13;4.14E-08;5.68E-07;7.90E-11;3.35E-07;5.01E-08;1.85E-12;6.71E-09;1.44E-09;1.45;115.733047
_lci_energy_cng;market for natural gas, from high pressure network (1-5 bar), at service station;5.41E-07;1.57E-10;2.78E-10;6.23E-07;2.22E-09;5.48E-07;1.79E-09;0;1.63E-09;3.15E-10;5.51E-10;1.77E-15;1.09E-11;7.22E-11;4.46E-14;7.67E-11;8.63E-12;4.87E-16;5.66E-13;7.88E-13;0.000213;0.42465977
