size,powertrain,euro_class,component,value
Scooter <4kW,ICEV-p,4,Cyclohexane,0.0058
Scooter <4kW,ICEV-p,4,Heptane,0.0037
Scooter <4kW,ICEV-p,4,Ethene,0.0387
Scooter <4kW,ICEV-p,4,Propene,0.0202
Scooter <4kW,ICEV-p,4,1-Pentene,0.0005
Scooter <4kW,ICEV-p,4,Toluene,0.0584
Scooter <4kW,ICEV-p,4,m-Xylene,0.0287
Scooter <4kW,ICEV-p,4,o-Xylene,0.0122
Scooter <4kW,ICEV-p,4,Formaldehyde,0.009
Scooter <4kW,ICEV-p,4,Acetaldehyde,0.0042
Scooter <4kW,ICEV-p,4,Benzaldehyde,0.0011
Scooter <4kW,ICEV-p,4,Acetone,0.0032
Scooter <4kW,ICEV-p,4,Methyl ethyl ketone,0.0005
Scooter <4kW,ICEV-p,4,Acrolein,0.0011
Scooter <4kW,ICEV-p,4,Styrene,0.0053
Scooter <4kW,ICEV-p,4,PAHs,1.92E-11
Scooter <4kW,ICEV-p,4,Arsenic,1.66E-13
Scooter <4kW,ICEV-p,4,Selenium,1.11E-13
Scooter <4kW,ICEV-p,4,Zinc,1.19E-09
Scooter <4kW,ICEV-p,4,Copper,2.32E-11
Scooter <4kW,ICEV-p,4,Nickel,7.18E-12
Scooter <4kW,ICEV-p,4,Chromium,8.83E-12
Scooter <4kW,ICEV-p,4,Chromium VI,1.77E-14
Scooter <4kW,ICEV-p,4,Mercury,4.81E-12
Scooter <4kW,ICEV-p,4,Cadmium,5.96E-12
Scooter <4kW,ICEV-p,5,Carbon monoxide,2.9007
Scooter <4kW,ICEV-p,5,Nitrogen oxides,0.0584
Scooter <4kW,ICEV-p,5,Non-methane hydrocarbon,0.2696
Scooter <4kW,ICEV-p,5,Particulate matters 2.5,0.0021
Scooter <4kW,ICEV-p,5,Methane,0.0279
Scooter <4kW,ICEV-p,5,Ammonia,0.0014
Scooter <4kW,ICEV-p,5,Dinitrogen oxide,0.0014
Scooter <4kW,ICEV-p,5,Ethane,0.017
Scooter <4kW,ICEV-p,5,Propane,0.0037
Scooter <4kW,ICEV-p,5,Butane,0.0276
Scooter <4kW,ICEV-p,5,Pentane,0.0117
Scooter <4kW,ICEV-p,5,Hexane,0.0085
Scooter <4kW,ICEV-p,5,Cyclohexane,0.0058
Scooter <4kW,ICEV-p,5,Heptane,0.0037
Scooter <4kW,ICEV-p,5,Ethene,0.0387
Scooter <4kW,ICEV-p,5,Propene,0.0202
Scooter <4kW,ICEV-p,5,1-Pentene,0.0005
Scooter <4kW,ICEV-p,5,Toluene,0.0584
Scooter <4kW,ICEV-p,5,m-Xylene,0.0287
Scooter <4kW,ICEV-p,5,o-Xylene,0.0122
Scooter <4kW,ICEV-p,5,Formaldehyde,0.009
Scooter <4kW,ICEV-p,5,Acetaldehyde,0.0042
Scooter <4kW,ICEV-p,5,Benzaldehyde,0.0011
Scooter <4kW,ICEV-p,5,Acetone,0.0032
Scooter <4kW,ICEV-p,5,Methyl ethyl ketone,0.0005
