powertrain,euro_class,component,size,value
ICEV-d,4,Ammonia,32t,0.000184616
ICEV-d,4,Non-methane hydrocarbon,32t,0.00248576
ICEV-d,4,Nitrogen dioxide,32t,0.054438199
ICEV-d,4,Nitrogen oxides,32t,0.419410291
ICEV-d,4,Lead,32t,0
ICEV-d,4,Particulate matters 2.5,32t,0.003311362
ICEV-d,4,Benzene,40t,4.38032E-05
ICEV-d,4,Methane,40t,6.29507E-05
ICEV-d,4,Carbon monoxide,40t,0.124583832
ICEV-d,4,Hydrocarbon,40t,0.002622946
ICEV-d,4,Dinitrogen oxide,40t,0.001063792
ICEV-d,4,Ammonia,40t,0.000145482
ICEV-d,4,Non-methane hydrocarbon,40t,0.002559995
ICEV-d,4,Nitrogen dioxide,40t,0.053542434
ICEV-d,4,Nitrogen oxides,40t,0.416800528
ICEV-d,4,Lead,40t,0
ICEV-d,4,Particulate matters 2.5,40t,0.003201338
ICEV-d,4,Benzene,60t,4.45306E-05
ICEV-d,4,Methane,60t,6.39961E-05
ICEV-d,4,Carbon monoxide,60t,0.124520171
ICEV-d,4,Hydrocarbon,60t,0.002666503
ICEV-d,4,Dinitrogen oxide,60t,0.000852011
ICEV-d,4,Ammonia,60t,0.000116519
ICEV-d,4,Non-methane hydrocarbon,60t,0.002602507
ICEV-d,4,Nitrogen dioxide,60t,0.054852584
ICEV-d,4,Nitrogen oxides,60t,0.422634539
ICEV-d,4,Lead,60t,0
ICEV-d,4,Particulate matters 2.5,60t,0.003191584
ICEV-d,4,Benzene,7.5t,4.53767E-05
ICEV-d,4,Methane,7.5t,6.52121E-05
ICEV-d,4,Carbon monoxide,7.5t,0.110576565
ICEV-d,4,Hydrocarbon,7.5t,0.00271717
ICEV-d,4,Dinitrogen oxide,7.5t,0.001390266
ICEV-d,4,Ammonia,7.5t,0.00032411
ICEV-d,4,Non-methane hydrocarbon,7.5t,0.002651958
ICEV-d,4,Nitrogen dioxide,7.5t,0.047487496
ICEV-d,4,Nitrogen oxides,7.5t,0.387664152
ICEV-d,4,Lead,7.5t,0
ICEV-d,4,Particulate matters 2.5,7.5t,0.003075972
ICEV-g,4,Benzene,3.5t,0
ICEV-g,4,Methane,3.5t,0.047311339
ICEV-g,4,Carbon monoxide,3.5t,0.090414776
ICEV-g,4,Hydrocarbon,3.5t,0.05142537
ICEV-g,4,Non-methane hydrocarbon,3.5t,0.004114029
ICEV-g,4,Nitrogen dioxide,3.5t,0.15346441
ICEV-g,4,Nitrogen oxides,3.5t,0.613857641
ICEV-g,4,Lead,3.5t,0
ICEV-g,4,Particulate matters 2.5,3.5t,0.000353135
ICEV-d,5,Benzene,3.5t,6.13155E-05
ICEV-d,5,Methane,3.5t,8.81181E-05
ICEV-d,5,Carbon monoxide,3.5t,0.130894659
ICEV-d,5,Hydrocarbon,3.5t,0.003671589
ICEV-d,5,Dinitrogen oxide,3.5t,0.002605092
ICEV-d,5,Ammonia,3.5t,0.001562548
ICEV-d,5,Non-methane hydrocarbon,3.5t,0.003583471
ICEV-d,5,Nitrogen dioxide,3.5t,0.049811393
ICEV-d,5,Nitrogen oxides,3.5t,0.379989279
ICEV-d,5,Lead,3.5t,0
