Time;Urban, 9m;Urban, 13m;Coach, 13m;Urban, 13m, double deck;Coach, 13m, double deck;Urban, 18m
222;-0.043209;-0.04665;0.008723;-0.042455;0.008723;-0.042032
223;-0.038831;-0.041623;0.008723;-0.03786;0.008925;-0.037309
224;-0.032832;-0.036786;0.008723;-0.031967;0.009866;-0.031485
225;-0.027929;-0.031024;0.008751;-0.027066;0.009998;-0.026576
226;-0.022744;-0.026106;0.009555;-0.021928;0.011204;-0.021469
227;-0.018411;-0.021023;0.009866;-0.01783;0.011387;-0.017502
228;-0.014938;-0.017195;0.010721;-0.014517;0.012411;-0.014281
229;-0.012684;-0.014051;0.011312;-0.012457;0.012684;-0.012331
230;-0.012;-0.012208;0.011904;-0.012;0.012599;-0.012
231;-0.012366;-0.012;0.012684;-0.012585;0.011763;-0.012709
232;-0.013586;-0.012828;0.012684;-0.013731;0.011655;-0.013894
233;-0.015223;-0.014047;0.012116;-0.015537;0.011542;-0.015718
234;-0.016824;-0.015888;0.011655;-0.016991;0.010638;-0.01707
235;-0.017742;-0.017144;0.011655;-0.017792;0.010626;-0.017734
236;-0.017008;-0.017679;0.010964;-0.016822;0.010403;-0.016705
237;-0.015357;-0.016595;0.010626;-0.014968;0.009544;-0.014715
238;-0.012796;-0.014477;0.010585;-0.01237;0.008539;-0.012062
239;-0.009662;-0.011771;0.009851;-0.009308;0.007669;-0.009079
240;-0.007441;-0.008873;0.009094;-0.006744;0.006594;-0.006541
241;-0.004216;-0.006169;0.008042;-0.003857;0.005458;-0.003647
242;-0.00233;-0.003569;0.006943;-0.002047;0.004603;-0.001846
243;-0.000721;-0.001651;0.005991;-0.000594;0.00388;-0.000541
244;-0.000574;-0.000574;0.005038;-0.000447;0.00388;-0.000447
245;0.000415;-0.000574;0.004009;0.000686;0.00388;0.000822
246;0.001;0.000968;0.00388;0.001;0.00388;0.001
247;0.001;0.001;0.00388;0.001;0.004457;0.001
248;0.001;0.001;0.00388;0.001;0.005428;0.001
249;0.001;0.001;0.004038;0.001;0.007038;0.001
250;0.001;0.001;0.005096;0.001;0.008309;0.001
251;0.001;0.001;0.006358;0.001;0.009442;0.001
252;0.001;0.001;0.007561;0.001;0.011202;0.001
253;0.001;0.001;0.009132;0.001;0.012487;0.001
254;0.001;0.001;0.010556;0.001;0.013616;0.001
255;0.001;0.001;0.011665;0.001;0.01524;0.001
256;0.001;0.001;0.013264;0.001;0.016632;0.001
257;0.001;0.001;0.014677;0.001;0.017814;0.001
258;0.001;0.001;0.015864;0.001;0.019253;0.001
259;0.001;0.001;0.017314;0.001;0.020755;0.001
260;0.001;0.001;0.018786;0.001;0.021746;0.001
261;0.001;0.001;0.020049;0.001;0.022536;0.001
262;0.001;0.001;0.02127;0.001;0.022536;0.001
263;0.001;0.001;0.022395;0.001;0.022536;0.001
264;0.001;0.001;0.022536;0.001;0.022389;0.001
265;0.001;0.001;0.022536;0.001;0.021454;0.001
266;0.001;0.001;0.022527;0.001;0.021454;0.001
267;0.001;0.001;0.021776;0.001;0.021454;0.001
268;0.001;0.001;0.021454;0.001;0.021454;0.001
269;0.001;0.001;0.021454;0.001;0.021454;0.001
270;0.001;0.001;0.021454;0.001;0.021454;0.001
271;0.001;0.001;0.021454;0.001;0.021454;0.001
272;0.001;0.001;0.021454;0.001;0.021454;0.001132
